n,,q,,p,te,P
682,,18.60513943,,1.6063911,25.536074,1150.791582
682,,2.205184392,,2.7607773,24.9590266,432.9666525
682,,3.746852008,,2.7301635,25.2041444,527.140396
682,,5.360404363,,3.023118444,27.06181611,630.6490866
682,,6.988076649,,2.8583578,25.8348108,734.961609
682,,8.601628974,,3.0445904,25.7709783,848.8213834
682,,10.24113948,,2.898396556,25.50713667,966.6360307
682,,11.93527676,,2.7958552,25.4952213,1089.758179
682,,13.54882881,,2.9712455,25.2118041,1219.77948
682,,15.17521767,,3.0968887,25.6330997,1366.790206
682,,16.80032287,,3.4406533,25.5743736,1519.311302
682,,18.54865872,,2.8864203,25.8756637,1696.423162
682,,2.256530672,,3.943226,23.9325978,471.8942691
682,,3.735299201,,4.4655698,24.6526302,611.7019265
682,,5.433572566,,4.224488,24.4713453,760.2988002
682,,6.916192076,,3.893479,25.7403385,910.113693
682,,8.605479887,,4.3258955,26.4603709,1067.987382
682,,10.22930136,,4.2448969,25.3905355,1233.450562
682,,11.86339211,,4.2582905,25.6765058,1405.199707
682,,13.53727607,,4.4617432,26.2356799,1592.021862
682,,15.18933786,,4.7359896,25.0100932,1793.721721
682,,2.287338181,,5.4343614,26.6212293,518.8109022
682,,3.749419329,,5.6620496,26.1463141,696.2783202
682,,5.355269691,,5.5529889,25.5309673,887.9265469
682,,6.959836325,,5.5663823,25.8654506,1085.400757
682,,8.602912635,,5.9031314,27.1829564,1294.656016
682,,10.2408543,,6.1218908,26.3505787,1510.777855
682,,2.364357395,,6.5032848,26.9071995,563.4659312
682,,3.772525148,,6.9376146,25.043286,784.9372112
682,,5.425870604,,7.1200203,26.702935,1022.537191
682,,6.984225805,,7.1512719,26.7131481,1266.461847
682,,8.559268386,,7.3139063,26.0722682,1527.795268
682,,2.28990557,,7.6563956,29.2256014,597.6475983
682,,3.73401554,,8.4166324,27.4127541,876.2729882
682,,5.415601457,,8.4587259,25.5896935,1172.137817
682,,6.890519005,,8.2878001,25.160738,1462.930287
682,,2.282203607,,9.4205018,25.0637123,636.3395385
682,,3.805900045,,10.0742288,25.0534992,975.1891757
682,,5.406615834,,10.0991023,24.1292025,1321.307051
682,,3.762255933,,11.3759431,26.3275989,1082.096424
682,,3.820020446,,13.1897964,25.7505518,1187.104869
682,,3.859813646,,14.3416312,26.1207811,1297.114237
698,,5.367922334,,0.293105714,25.33326843,467.0552639
698,,7.025147338,,0.376928571,26.32541057,486.276489
698,,8.596508147,,0.4236235,25.45500663,509.9614931
698,,10.1281431,,0.705842,26.3156835,538.452124
698,,11.77582765,,0.526465625,24.91562075,568.6064027
698,,13.39176265,,0.57111075,25.49968938,603.3437774
698,,14.84769945,,0.601063714,26.89078529,639.7867984
698,,16.70574344,,0.624752714,25.67978857,680.8046876
698,,18.28226562,,0.65561675,26.19227388,729.0127868
698,,2.18203429,,1.35638,26.45079588,417.9223633
698,,3.645243663,,1.460817125,26.01992575,470.49625
698,,5.287454177,,1.505461875,25.496498,526.6452501
698,,6.893535948,,1.900886875,26.22099838,589.5397464
698,,8.565306238,,1.590765375,26.54016163,649.4059857
698,,10.16646144,,1.718321625,24.478367,717.8388306
698,,11.69864386,,1.708755125,25.24116738,788.4841849
698,,13.36056074,,1.8020305,26.42526288,862.1959471
698,,14.88124762,,2.0388075,25.295425,949.5463524
698,,16.68134495,,1.843828286,26.555208,1046.197144
698,,18.21986146,,1.810003,25.07520225,1145.087443
698,,2.160685524,,2.796971375,26.42526275,443.0625122
698,,3.686298889,,2.993089375,26.91358275,537.8168217
698,,5.208628077,,2.5665725,25.9082185,636.7814208
698,,6.786792291,,2.814510375,27.90618037,739.234382
698,,8.41258061,,2.596069875,25.18690938,847.4534483
698,,10.00059814,,3.43555125,27.00614013,960.1845023
698,,11.65594641,,2.902205375,26.52420363,1084.060486
698,,13.26202801,,2.526711125,24.59326563,1208.65874
698,,14.93544052,,3.26494425,26.990182,1343.543132
698,,16.57272428,,3.5248405,25.43266525,1502.382121
698,,18.20672379,,2.797768625,25.86672725,1661.94614
698,,2.231300526,,4.26147925,26.97741538,484.3547977
698,,3.655096893,,4.357944125,26.546545,613.9829782
698,,5.246398951,,4.31409625,26.08375825,754.4972737
698,,6.803214225,,4.155447875,24.76561388,900.349683
698,,8.373167691,,4.28699075,27.03167313,1056.258585
698,,10.06628657,,4.06217225,26.22099825,1218.550879
698,,11.637882,,4.519781375,25.0049865,1386.538696
698,,13.22097296,,4.5413065,26.11886625,1564.08114
698,,14.87467883,,4.352363125,25.97205125,1759.369605
698,,2.219805077,,5.38876,27.1050805,523.1900881
698,,3.719143105,,5.458118875,26.60399438,693.3888009
698,,5.151150569,,5.545016625,27.00933175,880.001302
698,,6.763801306,,5.356073625,25.79651125,1074.377577
698,,8.496333368,,5.71642075,27.2040215,1276.735889
698,,10.01045137,,5.52907175,27.19763813,1480.442676
698,,11.67401056,,5.77382075,27.07635588,1702.32522
698,,2.290419992,,6.421170375,25.876302,559.0503967
698,,3.661665771,,7.133892,26.54973663,780.357551
698,,5.335078106,,7.052575125,25.82523588,1011.901062
698,,6.817994375,,6.880373625,26.6550605,1255.43693
698,,8.429002805,,7.307688125,26.56888625,1495.310411
698,,2.32490634,,7.85936975,26.26248963,601.4383679
698,,3.627179249,,8.53541925,28.0785285,871.0583006
698,,5.161003886,,8.4628715,26.92954088,1149.41665
698,,6.865618304,,8.71240375,27.28062038,1441.822339
698,,2.323264295,,8.385540375,26.52101188,593.8772645
698,,3.678087966,,9.935351625,26.10929113,965.0638915
698,,5.231618975,,10.07327213,25.54437238,1296.891439
698,,3.85708867,,11.30578675,26.55611988,1066.799353
698,,5.341647071,,11.56807488,25.94332625,1453.226725
698,,3.845593221,,12.22180175,27.69553263,1172.642529
698,,3.832455552,,14.7545955,27.24870413,1275.623547
732,,5.379103586,,0.844028333,25.71140083,465.9665628
732,,7.017001149,,0.229327429,26.20868786,487.4415343
732,,8.799973796,,0.783173375,25.86034388,511.7402549
732,,10.32953664,,0.601974714,26.07372729,538.6209718
732,,12.00155029,,0.504143375,28.32109275,569.3980347
732,,13.52397806,,0.364172857,24.57092414,603.4223499
732,,15.21272182,,0.646619286,24.88461614,641.7605102
732,,16.81289473,,0.493551571,26.51873229,687.354207
732,,18.50459061,,1.21845975,26.16674063,738.3100101
732,,20.10771614,,0.684886429,25.93511929,793.7429809
732,,2.212545305,,1.478356125,26.61356925,422.8699216
732,,3.762528586,,1.40740275,26.93273263,474.8002116
732,,5.22467928,,1.406605375,23.73152513,530.5249391
732,,6.907272139,,1.39385,25.799703,593.7316957
732,,8.607086946,,1.514231375,26.88804938,660.1556762
732,,10.11057075,,1.74622475,26.64548563,728.0135679
732,,11.79316361,,1.384283125,26.46037088,803.7014973
732,,13.47058974,,1.6752715,24.83583,882.4668824
732,,15.17212694,,1.8331225,25.32095788,968.7260537
732,,16.73760978,,1.60670975,26.45717913,1061.047156
732,,18.33237032,,1.833919875,27.8806475,1161.122762
732,,20.16307277,,2.0388075,27.20721288,1278.750281
732,,2.169490163,,2.944458375,26.15716575,452.3942872
732,,3.764250708,,2.89423325,25.920985,545.458537
732,,5.307344955,,2.98830625,25.05605238,642.1082596
732,,6.891772314,,2.910974875,25.834811,746.8004696
732,,8.458977543,,3.208341125,27.32211163,854.305383
732,,10.08473765,,2.659848,26.60718588,967.0314335
732,,11.76560839,,3.38133975,25.56990538,1087.787435
732,,13.2673698,,2.966781,27.68276613,1215.927775
732,,15.04985028,,3.05208425,26.40930463,1355.135364
732,,16.72899871,,3.0592595,25.4486235,1503.170606
732,,18.38231413,,2.609622625,26.29759775,1675.822428
732,,20.00462999,,3.26175525,27.47211838,1836.774097
732,,2.131601934,,3.94816875,27.15933838,488.0612151
732,,3.703973619,,3.67312475,26.87209163,613.746989
732,,5.262567692,,4.077319875,25.66884588,751.710856
732,,6.945160643,,3.850907125,25.5507555,898.4096273
732,,8.534754549,,4.02390525,27.04763125,1052.569621
732,,10.16912563,,4.05101125,25.30819138,1211.385559
732,,11.74838635,,4.28539625,25.2730835,1374.825982
732,,13.44820106,,3.963316,26.06460838,1547.456177
732,,14.92585176,,4.207268,26.42526288,1740.135932
732,,16.78583156,,4.4855005,25.3081915,1932.76317
732,,2.26248939,,5.76584875,26.4029215,532.946875
732,,3.710862379,,5.430215875,26.06141675,699.3592343
732,,5.224679372,,5.140821875,26.03269213,877.8099367
732,,6.85216169,,5.56255575,26.441221,1072.415466
732,,8.526143484,,5.421446125,27.48169337,1274.522596
732,,10.05718233,,5.57531125,26.7763425,1478.054517
732,,11.79488564,,5.40390725,26.21780675,1691.941962
732,,2.174656985,,6.63961075,27.743407,569.8705263
732,,3.664362995,,6.877184625,26.39653813,783.2401245
732,,5.264289996,,6.70817225,27.73064075,1010.191691
732,,6.836661681,,6.79507025,25.850769,1247.480048
732,,8.469310821,,6.864429125,27.7753235,1505.191235
732,,2.22115637,,7.314863125,25.76459488,599.7108153
732,,3.710862471,,8.627100625,27.01252325,871.5754878
732,,5.31423399,,8.686892625,26.355047,1148.928467
732,,6.934827365,,8.49874675,27.69872438,1436.61117
732,,2.298655589,,7.682385125,26.21461513,605.968494
732,,3.796972664,,9.845265,26.7571925,964.934109
732,,5.310789473,,10.47985863,26.70612663,1291.207508
732,,3.722917871,,10.83462488,25.97205088,1060.16413
732,,5.379677535,,10.8752835,28.24768525,1399.091626
732,,3.769417439,,11.06103775,25.56990525,1102.414239
732,,3.818404475,,13.056854,25.50146267,1190.547818
750,,4.866390536,,0.291283571,26.234221,464.1415163
750,,6.727741714,,0.682153,25.989833,484.1387084
750,,8.469355313,,0.69946425,27.52318463,510.2894073
750,,10.1368575,,0.43159575,25.64969625,537.8342286
750,,11.74436522,,0.389342625,26.32951388,569.3066709
750,,13.35187284,,0.40449,26.64229388,601.7882082
750,,14.99290688,,0.445945625,25.60820488,639.6015961
750,,16.60570809,,0.520087875,26.84017513,682.704854
